Invoice,Whs,EventDate,EventType,Div,SplitVendors,ItemorServiceDescription,ItemDept,DoorCount,MembersSampled,UnitsPurchased,UnitsSold,UnitCost,UnitTax,ProductChargeplusTax,LaborCharge,SupplyCharge,LaborandSupplyTax,EnhancementMiscOther,Total
I-1007258,Whs-1,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,5074,0,9,32,9.99,0,89.91,163,8.5,0,0,261.40999999999997
I-1007258,Whs-2,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2362,0,10,44,9.99,0,99.9,163,8.5,0,10.78,282.17999999999995
I-1007258,Whs-3,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,4124,0,14,45,9.99,0,139.86,163,8.5,0,0,311.36
I-1007258,Whs-4,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,5305,0,12,58,9.99,0,119.88,163,8.5,0,0,291.38
I-1007258,Whs-5,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2584,0,10,38,9.99,0,99.9,163,8.5,0,0,271.4
I-1007258,Whs-6,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3303,0,9,44,10.39,0,93.51,163,8.5,0,0,265.01
I-1007258,Whs-7,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3720,0,10,38,9.99,0,99.9,163,8.5,0,0,271.4
I-1007258,Whs-8,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3529,0,18,87,9.99,0,179.82,163,8.5,0,0,351.32
I-1007258,Whs-9,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3934,0,12,38,9.99,0,119.88,163,8.5,0,12.99,304.37
I-1007258,Whs-10,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3676,0,8,28,9.99,0,79.92,163,8.5,0,0,251.42
I-1007258,Whs-11,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2844,0,9,54,10.39,0,93.51,163,8.5,0,0,265.01
I-1007258,Whs-12,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3487,0,9,49,9.99,0,89.91,163,8.5,0,0,261.40999999999997
I-1007258,Whs-13,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3315,0,10,61,9.99,0,99.9,163,8.5,0,0,271.4
I-1007258,Whs-14,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,4568,0,12,67,9.99,0,119.88,163,8.5,0,0,291.38
I-1007258,Whs-15,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2691,0,8,39,9.99,0,79.92,163,8.5,0,0,251.42
I-1007258,Whs-16,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3335,0,7,40,9.99,0,69.93,163,8.5,0,0,241.43
I-1007258,Whs-17,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3883,0,14,44,9.99,0,139.86,163,8.5,0,0,311.36
I-1007258,Whs-18,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3070,0,11,35,9.99,0,109.89,163,8.5,0,0,281.39
I-1007258,Whs-19,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2698,0,13,70,9.99,0,129.87,136,8.5,0,0,274.37
I-1007258,Whs-20,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,4574,0,11,58,9.99,0,109.89,163,8.5,0,0,281.39
I-1007258,Whs-21,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,1813,0,10,32,9.99,0,99.9,163,8.5,0,12.99,284.39
I-1007258,Whs-22,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,5255,0,8,45,9.99,0,79.92,163,8.5,0,0,251.42
I-1007258,Whs-23,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,926,0,7,19,10.39,3.64,76.37,163,8.5,8.575,0,256.445
I-1007258,Whs-24,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,5919,0,13,61,9.99,0,129.87,163,8.5,0,0,301.37
I-1007258,Whs-25,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2651,0,15,61,9.99,0,149.85,163,8.5,0,5.39,326.74
I-1007258,Whs-26,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2171,0,11,32,9.99,0,109.89,163,8.5,0,0,281.39
I-1007258,Whs-27,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3479,0,10,28,9.99,3,102.9,163,8.5,0,3.49,277.89
I-1007258,Whs-28,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,4164,0,12,37,9.99,0,119.88,163,8.5,0,0,291.38
I-1007258,Whs-29,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2138,0,10,42,9.99,5.99,105.89,163,8.5,0,0,277.39
I-1007258,Whs-30,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,623,0,12,16,9.99,3.6,123.48,156.4,8.5,0,0,288.38
I-1007258,Whs-31,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,3839,0,10,53,9.99,0,99.9,163,8.5,0,0,271.4
I-1007258,Whs-32,2019-12-29,Regular,A,NA,Apple Scones,Dept-01,2515,0,12,48,9.99,3.6,123.48,163,8.5,0,3.49,298.47
