"Invoice","Whs","EventDate","EventType","Div","SplitVendors","ItemorServiceDescription","ItemDept","DoorCount","MembersSampled","UnitsPurchased","UnitsSold","UnitCost","UnitTax","ProductChargeplusTax","LaborCharge","SupplyCharge","LaborandSupplyTax","EnhancementMiscOther","Total"
"I-1007258","Whs-1","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","5,074 customers",0,9,"32","$9.99",0,89.91,163,8.5,0,0,261.41
"I-1007258","Whs-2","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,362 customers",0,10,"44","$9.99",0,99.9,163,8.5,0,10.78,282.18
"I-1007258","Whs-3","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","4,124 customers",0,14,"45","$9.99",0,139.86,163,8.5,0,0,311.36
"I-1007258","Whs-4","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","5,305 customers",0,12,"58","$9.99",0,119.88,163,8.5,0,0,291.38
"I-1007258","Whs-5","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,584 customers",0,10,"38","$9.99",0,99.9,163,8.5,0,0,271.4
"I-1007258","Whs-6","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,303 customers",0,9,"44","$10.39",0,93.51,163,8.5,0,0,265.01
"I-1007258","Whs-7","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,720 customers",0,10,"38","$9.99",0,99.9,163,8.5,0,0,271.4
"I-1007258","Whs-8","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,529 customers",0,18,"87","$9.99",0,179.82,163,8.5,0,0,351.32
"I-1007258","Whs-9","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,934 customers",0,12,"38","$9.99",0,119.88,163,8.5,0,12.99,304.37
"I-1007258","Whs-10","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,676 customers",0,8,"28","$9.99",0,79.92,163,8.5,0,0,251.42
"I-1007258","Whs-11","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,844 customers",0,9,"54","$10.39",0,93.51,163,8.5,0,0,265.01
"I-1007258","Whs-12","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,487 customers",0,9,"49","$9.99",0,89.91,163,8.5,0,0,261.41
"I-1007258","Whs-13","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,315 customers",0,10,"61","$9.99",0,99.9,163,8.5,0,0,271.4
"I-1007258","Whs-14","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","4,568 customers",0,12,"67","$9.99",0,119.88,163,8.5,0,0,291.38
"I-1007258","Whs-15","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,691 customers",0,8,"39","$9.99",0,79.92,163,8.5,0,0,251.42
"I-1007258","Whs-16","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,335 customers",0,7,"40","$9.99",0,69.93,163,8.5,0,0,241.43
"I-1007258","Whs-17","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,883 customers",0,14,"44","$9.99",0,139.86,163,8.5,0,0,311.36
"I-1007258","Whs-18","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,070 customers",0,11,"35","$9.99",0,109.89,163,8.5,0,0,281.39
"I-1007258","Whs-19","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,698 customers",0,13,"70","$9.99",0,129.87,136,8.5,0,0,274.37
"I-1007258","Whs-20","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","4,574 customers",0,11,"58","$9.99",0,109.89,163,8.5,0,0,281.39
"I-1007258","Whs-21","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","1,813 customers",0,10,"32","$9.99",0,99.9,163,8.5,0,12.99,284.39
"I-1007258","Whs-22","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","5,255 customers",0,8,"45","$9.99",0,79.92,163,8.5,0,0,251.42
"I-1007258","Whs-23","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","926 customers",0,7,"19","$10.39",3.64,76.37,163,8.5,8.575,0,256.445
"I-1007258","Whs-24","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","5,919 customers",0,13,"61","$9.99",0,129.87,163,8.5,0,0,301.37
"I-1007258","Whs-25","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,651 customers",0,15,"61","$9.99",0,149.85,163,8.5,0,5.39,326.74
"I-1007258","Whs-26","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,171 customers",0,11,"32","$9.99",0,109.89,163,8.5,0,0,281.39
"I-1007258","Whs-27","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,479 customers",0,10,"28","$9.99",3,102.9,163,8.5,0,3.49,277.89
"I-1007258","Whs-28","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","4,164 customers",0,12,"37","$9.99",0,119.88,163,8.5,0,0,291.38
"I-1007258","Whs-29","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,138 customers",0,10,"42","$9.99",5.99,105.89,163,8.5,0,0,277.39
"I-1007258","Whs-30","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","623 customers",0,12,"16","$9.99",3.6,123.48,156.4,8.5,0,0,288.38
"I-1007258","Whs-31","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,839 customers",0,10,"53","$9.99",0,99.9,163,8.5,0,0,271.4
"I-1007258","Whs-32","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,515 customers",0,12,"48","$9.99",3.6,123.48,163,8.5,0,3.49,298.47
"I-1007258","Whs-33","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,248 customers",0,8,"24","$9.99",2.4,82.32,163,8.5,0,15.44,269.26
"I-1007258","Whs-34","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,002 customers",0,12,"55","$9.99",0,119.88,163,8.5,0,12.99,304.37
"I-1007258","Whs-35","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","2,209 customers",0,7,"28","$9.99",0,69.93,136,8.5,0,0,214.43
"I-1007258","Whs-36","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","1,849 customers",0,10,"27","$9.99",0,99.9,163,8.5,0,0,271.4
"I-1007258","Whs-37","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","1,598 customers",0,12,"31","$9.99",0,119.88,163,8.5,0,14.89,306.27
"I-1007258","Whs-38","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","4,298 customers",0,11,"78","$9.99",0,109.89,163,8.5,0,0,281.39
"I-1007258","Whs-39","2019-12-29","Regular","A",NA,"Apple Scones","Dept-01","3,454 customers",0,12,"32","$9.99",0,119.88,163,8.5,0,0,291.38
