"Date","Department","Category","CustomerCode","Price","Quantity"
"1/14/2016","Kabobs","Pork","CWM11331L8O",28,11
"7/2/2016","Sides","Rice","CWM11331L8O",9,5
"7/9/2014","Sides","Rice","CXP4593H7E",9,14
"9/10/2014","Sides","Rice","CWM11331L8O",9,6
"4/28/2015","Kabobs","Beef","CWM11331L8O",25,7
"1/7/2014","Entrees","Lamb Chops","CWM11331L8O",18,13
"11/19/2014","Entrees","Beef and Broccoli","CIF57576XZ",26,9
"6/18/2015","Sides","Yogurt","CWM11331L8O",12,6
"8/20/2014","Sides","Rice","CWM11331L8O",9,11
"7/5/2016","Entrees","Lamb Chops","CWM11331L8O",12,22
"2/20/2014","Entrees","Lamb Chops","CWM11331L8O",14,12
"2/11/2015","Sides","Roll","CWM11331L8O",5,10
"2/13/2017","Sides","Yogurt","CWM11331L8O",12,17
"4/3/2014","Kabobs","Chicken","CWM11331L8O",33,6
"8/12/2015","Kabobs","Lamb","CWM11331L8O",28,13
"1/5/2014","Sides","Rice","CWM11331L8O",9,10
"11/26/2016","Kabobs","Chicken","CWM11331L8O",33,14
"8/25/2016","Kabobs","Lamb","CWM11331L8O",28,16
"6/22/2014","Kabobs","Chicken","CWM11331L8O",33,10
"11/1/2014","Kabobs","Chicken","CWM11331L8O",33,9
"1/5/2014","Kabobs","Chicken","CWM11331L8O",33,20
"3/1/2014","Kabobs","Beef","CWM11331L8O",25,5
"1/11/2014","Kabobs","Beef","CWM11331L8O",25,16
"7/14/2016","Kabobs","Beef","CWM11331L8O",28,9
"11/30/2014","Kabobs","Lamb","CWM11331L8O",28,7
"6/16/2016","Entrees","Lamb Chops","CWM11331L8O",8,6
"3/11/2014","Kabobs","Beef","CWM11331L8O",25,7
"7/21/2015","Sides","Yogurt","CWM11331L8O",12,6
"3/29/2015","Kabobs","Chicken","CWM11331L8O",33,15
"2/7/2015","Sides","Yogurt","CWM11331L8O",12,5
"1/7/2016","Kabobs","Lamb","CWM11331L8O",28,5
"3/5/2015","Entrees","Beef and Broccoli","CWM11331L8O",26,16
"8/30/2016","Kabobs","Chicken","CWM11331L8O",33,15
"12/2/2015","Kabobs","Chicken","CWM11331L8O",33,17
"8/10/2015","Sides","Yogurt","CC56195HKD",12,10
"4/12/2015","Kabobs","Lamb","CWM11331L8O",28,11
"4/20/2015","Kabobs","Chicken","CWM11331L8O",33,19
"3/3/2016","Sides","Rice","CWM11331L8O",9,7
"11/23/2014","Kabobs","Beef","CWM11331L8O",25,11
"9/14/2015","Entrees","Lamb Chops","CWM11331L8O",32,11
"5/13/2015","Entrees","Beef and Broccoli","CWM11331L8O",19,5
"1/4/2017","Kabobs","Beef","CWM11331L8O",28,7
"6/24/2015","Kabobs","Chicken","CWM11331L8O",33,10
"11/27/2016","Kabobs","Beef","CWM11331L8O",28,1
"2/16/2015","Kabobs","Lamb","CWM11331L8O",28,2
"12/30/2015","Kabobs","Beef","CWM11331L8O",25,14
"1/11/2014","Sides","Yogurt","CWM11331L8O",12,10
"7/25/2015","Entrees","Lamb Chops","CWM11331L8O",30,9
"2/26/2015","Sides","Yogurt","CWM11331L8O",12,6
"12/31/2015","Kabobs","Beef","CWM11331L8O",25,21
"7/3/2016","Kabobs","Beef","CWM11331L8O",28,23
"10/13/2015","Kabobs","Lamb","CWM11331L8O",28,10
"3/3/2014","Entrees","Lamb Chops","CWM11331L8O",12,19
"3/13/2016","Kabobs","Beef","CWM11331L8O",25,10
"7/26/2015","Kabobs","Beef","CWM11331L8O",25,11
"3/25/2015","Entrees","Beef and Broccoli","CWM11331L8O",16,9
"2/11/2015","Kabobs","Chicken","CWM11331L8O",33,2
"11/2/2016","Kabobs","Chicken","CWM11331L8O",33,9
"6/2/2016","Sides","Yogurt","CWM11331L8O",12,13
"6/10/2015","Kabobs","Lamb","CWM11331L8O",28,11
"9/22/2016","Sides","Yogurt","CWM11331L8O",12,9
"1/15/2015","Kabobs","Chicken","CWM11331L8O",33,20
"3/19/2017","Sides","Rice","CWM11331L8O",9,5
"9/15/2014","Kabobs","Chicken","CY94560HP1",33,11
"10/24/2015","Kabobs","Chicken","CFH82483O5",33,16
"8/25/2014","Kabobs","Chicken","CWM11331L8O",33,20
"3/18/2014","Kabobs","Chicken","CWM11331L8O",33,4
"8/28/2014","Kabobs","Beef","CNP5028AG2",25,7
"11/12/2016","Sides","Yogurt","CWM11331L8O",12,11
"8/19/2015","Sides","Yogurt","CWM11331L8O",12,4
"7/6/2015","Kabobs","Chicken","CWM11331L8O",33,8
"3/10/2014","Kabobs","Chicken","CWM11331L8O",33,10
"7/29/2014","Kabobs","Beef","CWM11331L8O",25,12
"12/23/2014","Kabobs","Beef","CWM11331L8O",25,3
"3/23/2017","Kabobs","Chicken","CWM11331L8O",33,11
"4/8/2015","Sides","Rice","CWM11331L8O",9,15
"8/25/2014","Sides","Yogurt","CWM11331L8O",12,9
"8/2/2014","Sides","Rice","CWM11331L8O",9,12
"3/2/2015","Kabobs","Chicken","CWM11331L8O",33,7
"11/16/2014","Entrees","Lamb Chops","CWM11331L8O",30,18
"9/11/2014","Kabobs","Beef","CWM11331L8O",25,16
"3/29/2016","Kabobs","Lamb","CWM11331L8O",28,3
"7/16/2015","Kabobs","Chicken","CWM11331L8O",33,13
"1/19/2017","Sides","Roll","CWM11331L8O",5,16
"2/19/2015","Sides","Chips","CWM11331L8O",8,5
"2/27/2017","Kabobs","Chicken","CWM11331L8O",33,10
"1/11/2016","Kabobs","Beef","CWM11331L8O",25,8
"11/19/2016","Entrees","Beef and Broccoli","CWM11331L8O",30,10
"4/23/2014","Sides","Rice","CWM11331L8O",9,6
"7/2/2014","Kabobs","Beef","CWM11331L8O",25,17
"8/3/2014","Kabobs","Chicken","CWM11331L8O",33,6
"5/19/2016","Sides","Chips","CWM11331L8O",8,8
"6/17/2015","Sides","Yogurt","CWM11331L8O",12,9
"7/1/2014","Sides","Chips","CWM11331L8O",8,9
"4/22/2014","Kabobs","Lamb","CWM11331L8O",28,13
"8/18/2015","Entrees","Beef and Broccoli","CMC7807SSM",27,19
"12/6/2014","Entrees","Lamb Chops","CWM11331L8O",18,5
"2/15/2014","Sides","Yogurt","CWM11331L8O",12,13
"1/12/2016","Sides","Yogurt","CWM11331L8O",12,18
"9/27/2014","Kabobs","Chicken","CWM11331L8O",33,4
"10/16/2016","Sides","Chips","CWM11331L8O",8,8
"3/23/2014","Entrees","Beef and Broccoli","C753422ZU3",29,20
"1/13/2015","Entrees","Beef and Broccoli","CWM11331L8O",26,6
"2/22/2017","Entrees","Lamb Chops","CLQ5787RXS",32,9
"1/21/2014","Entrees","Lamb Chops","CWM11331L8O",17,7
"10/1/2014","Sides","Yogurt","CWM11331L8O",12,7
"12/4/2016","Sides","Yogurt","CO110403TKG",12,2
"5/4/2015","Kabobs","Chicken","CWM11331L8O",33,9
"4/21/2014","Kabobs","Beef","CWM11331L8O",25,7
"6/19/2016","Kabobs","Beef","CWM11331L8O",28,13
"1/20/2014","Kabobs","Chicken","CWM11331L8O",33,18
"9/22/2014","Entrees","Beef and Broccoli","CWM11331L8O",25,13
"3/25/2014","Sides","Yogurt","C893439MKU",12,11
"7/11/2015","Kabobs","Chicken","CPB7528869",33,14
"12/16/2015","Kabobs","Beef","CWM11331L8O",25,17
"12/31/2014","Kabobs","Chicken","CWM11331L8O",33,11
"10/5/2016","Sides","Chips","CWM11331L8O",8,11
"3/22/2016","Kabobs","Chicken","CWM11331L8O",33,18
"10/17/2016","Entrees","Lamb Chops","CWM11331L8O",16,12
"5/16/2015","Sides","Rice","CWM11331L8O",9,14
"7/26/2014","Kabobs","Chicken","CWM11331L8O",33,10
"1/15/2015","Sides","Yogurt","CWM11331L8O",12,11
"2/3/2015","Sides","Yogurt","CN962693KT",12,7
"8/24/2016","Kabobs","Beef","CWM11331L8O",28,8
"3/2/2015","Kabobs","Beef","CWM11331L8O",25,14
"5/18/2015","Kabobs","Lamb","CWM11331L8O",28,5
"10/29/2016","Kabobs","Beef","CWM11331L8O",28,14
"1/19/2016","Kabobs","Chicken","CWM11331L8O",33,18
"11/4/2014","Entrees","Lamb Chops","CWM11331L8O",37,19
"3/12/2014","Sides","Roll","CWM11331L8O",5,15
"5/28/2014","Sides","Roll","CWM11331L8O",5,9
"3/9/2014","Sides","Chips","C823304RA4",8,19
"8/18/2015","Sides","Roll","CRQ7798N1M",5,19
"2/14/2015","Entrees","Beef and Broccoli","CWM11331L8O",37,5
"4/30/2014","Kabobs","Beef","CWM11331L8O",25,16
"6/23/2014","Sides","Rice","CWM11331L8O",9,14
"7/11/2015","Kabobs","Beef","CMU75298HG",25,11
